=========================================================
 [ 종합 RMSE 비교 요약: 거리별(m) ]
=========================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | 1D-CNN
      17 | 0.6492           | 44.2062          | 3.1336           | 12.5462          | 17.7051
      18 | 0.6483           | 44.2535          | 3.0655           | 12.5155          | 17.6043
      19 | 0.6472           | 44.8074          | 3.0886           | 12.5308          | 17.7388
      20 | 0.6514           | 44.7638          | 3.1008           | 12.6228          | 17.8327
      21 | 0.6521           | 43.6648          | 3.1304           | 12.6186          | 17.7399
      22 | 0.6514           | 45.3602          | 3.1193           | 12.6841          | 17.6250
      23 | 0.6505           | 44.1235          | 3.0861           | 12.7063          | 17.7497
      24 | 0.6508           | 44.5389          | 3.0951           | 12.7750          | 17.8495
      25 | 0.6504           | 44.5854          | 3.1052           | 12.7871          | 17.6088
      26 | 0.6495           | 44.7729          | 3.1313           | 12.8439          | 17.8620
      27 | 0.6515           | 44.7920          | 3.1142           | 12.8759          | 17.8655
      28 | 0.6507           | 44.9433          | 3.0437           | 12.8018          | 17.5380
      29 | 0.6498           | 44.6997          | 3.0717           | 12.9354          | 17.8025
      30 | 0.6527           | 44.1820          | 3.0534           | 12.9669          | 17.6899
      31 | 0.6541           | 44.8906          | 3.0984           | 13.1349          | 18.2076
      32 | 0.6499           | 44.3046          | 3.1013           | 13.1118          | 17.9992
      33 | 0.6530           | 43.4441          | 3.1156           | 13.1126          | 17.8292
      34 | 0.6495           | 44.8443          | 3.0626           | 13.0993          | 17.8195
      35 | 0.6504           | 44.1641          | 3.0928           | 13.1734          | 17.8870
      36 | 0.6558           | 44.8145          | 3.1223           | 13.2487          | 18.0007
      37 | 0.6541           | 44.2864          | 3.1149           | 13.2890          | 17.9372
      38 | 0.6511           | 44.5296          | 3.1471           | 13.4278          | 18.0419
      39 | 0.6511           | 44.0639          | 3.1190           | 13.4553          | 17.9226
      40 | 0.6528           | 45.1298          | 3.0957           | 13.3799          | 17.8809
      41 | 0.6567           | 44.3522          | 3.1555           | 13.5846          | 18.0627
      42 | 0.6569           | 44.6107          | 3.1267           | 13.5562          | 18.0457
      43 | 0.6561           | 43.6943          | 3.1044           | 13.5527          | 18.0125
      44 | 0.6521           | 43.8917          | 3.0729           | 13.6087          | 17.8124
      45 | 0.6579           | 44.4497          | 3.1576           | 13.7843          | 18.1487
      46 | 0.6579           | 44.0288          | 3.1428           | 13.6825          | 17.9213
      47 | 0.6587           | 44.2357          | 3.1359           | 13.7300          | 18.0031
      48 | 0.6583           | 44.5800          | 3.1539           | 13.9097          | 18.2386
      49 | 0.6577           | 43.4082          | 3.1562           | 13.9802          | 18.1700
      50 | 0.6591           | 43.9735          | 3.1249           | 13.9580          | 18.1136
      51 | 0.6573           | 44.2039          | 3.1105           | 13.9157          | 17.8378
      52 | 0.6591           | 44.2132          | 3.1433           | 14.1800          | 18.0511
      53 | 0.6576           | 43.7684          | 3.1190           | 14.1595          | 17.8906
      54 | 0.6550           | 44.3879          | 3.1135           | 14.2296          | 18.1264
      55 | 0.6590           | 43.4086          | 3.1232           | 14.1989          | 18.0042
      56 | 0.6560           | 44.3229          | 3.0931           | 14.2288          | 17.7931
      57 | 0.6575           | 43.9529          | 3.1335           | 14.4283          | 18.0464
      58 | 0.6574           | 43.7755          | 3.1239           | 14.3933          | 17.8725
      59 | 0.6586           | 43.9083          | 3.1004           | 14.3598          | 17.7828
      60 | 0.6583           | 44.3015          | 3.1230           | 14.4974          | 17.9865
      61 | 0.6610           | 43.1192          | 3.1564           | 14.8247          | 18.1475
      62 | 0.6587           | 44.6868          | 3.1108           | 14.7805          | 17.9022
      63 | 0.6599           | 44.9055          | 3.1192           | 14.8298          | 18.0380
      64 | 0.6619           | 44.5787          | 3.1476           | 15.0751          | 18.1988
      65 | 0.6574           | 44.5757          | 3.1321           | 15.1212          | 18.0038
      66 | 0.6560           | 43.6734          | 3.0972           | 15.0277          | 17.9157
      67 | 0.6648           | 44.6707          | 3.1448           | 15.1748          | 17.9454
      68 | 0.6627           | 44.3486          | 3.1314           | 15.2621          | 17.9118
      69 | 0.6603           | 45.5204          | 3.1144           | 15.3334          | 17.8943
      70 | 0.6613           | 44.1946          | 3.0950           | 15.4095          | 17.8872
      71 | 0.6607           | 44.8613          | 3.0963           | 15.5525          | 17.8832
      72 | 0.6635           | 42.9646          | 3.1395           | 15.7619          | 18.0893
      73 | 0.6616           | 43.2686          | 3.1305           | 15.6938          | 18.0347
      74 | 0.6606           | 44.2568          | 3.1512           | 16.0698          | 18.1957
      75 | 0.6612           | 43.8240          | 3.1191           | 15.9385          | 17.9819
      76 | 0.6647           | 45.2978          | 3.1400           | 16.1402          | 17.9991
      77 | 0.6620           | 44.6957          | 3.1268           | 16.2342          | 18.0177
      78 | 0.6636           | 44.1008          | 3.1250           | 16.3673          | 18.1247
      79 | 0.6658           | 43.8333          | 3.1271           | 16.3653          | 17.8036
      80 | 0.6657           | 44.9099          | 3.1108           | 16.7041          | 18.2300
      81 | 0.6654           | 43.9722          | 3.1159           | 16.7915          | 18.0223
      82 | 0.6649           | 44.4787          | 3.1420           | 16.9139          | 18.0203
      83 | 0.6691           | 43.3441          | 3.1800           | 17.0348          | 18.1233
      84 | 0.6667           | 44.4649          | 3.1112           | 17.0644          | 18.2031
      85 | 0.6646           | 44.6054          | 3.1325           | 17.1743          | 17.9798
      86 | 0.6686           | 45.2469          | 3.1571           | 17.4253          | 18.0701
      87 | 0.6649           | 43.7270          | 3.1218           | 17.6035          | 18.1702
      88 | 0.6622           | 44.8633          | 3.0937           | 17.8282          | 18.0756
      89 | 0.6678           | 44.5179          | 3.1661           | 17.9366          | 18.1065
      90 | 0.6708           | 44.4421          | 3.1535           | 18.2187          | 18.2773
      91 | 0.6686           | 44.7496          | 3.1259           | 18.2944          | 18.1120
      92 | 0.6736           | 44.8036          | 3.1444           | 18.4201          | 18.0611
      93 | 0.6719           | 44.2558          | 3.1522           | 18.4620          | 17.9460
